127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000841
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000463
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001058
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.003274
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001336
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000371
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000414
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001272
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000694
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002268
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001236
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001901
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003085
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002331
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002362
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000927
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.005277
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.004625
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001502
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000475
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.000486
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/edit/bookmark/controllers/default.py, HTTP/1.1, 200, 0.098525
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.095603
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000470
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.152589
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.172211
127.0.0.1, 2014-11-02 21:10:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.239750
127.0.0.1, 2014-11-02 21:10:59, GET, /bookmark/default/index, HTTP/1.1, 200, 0.559737
127.0.0.1, 2014-11-02 21:11:08, GET, /admin/default/edit/bookmark/views/default/index.html, HTTP/1.1, 200, 0.056280
127.0.0.1, 2014-11-02 21:11:08, GET, /admin/default/edit/bookmark/views/default/index.html, HTTP/1.1, 200, 0.054032
127.0.0.1, 2014-11-02 21:11:08, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000457
127.0.0.1, 2014-11-02 21:11:09, GET, /admin/default/edit/bookmark/views/default/index.html, HTTP/1.1, 200, 0.095565
127.0.0.1, 2014-11-02 21:11:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.101205
127.0.0.1, 2014-11-02 21:11:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.145980
127.0.0.1, 2014-11-02 21:11:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.161945
